Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher,state_name,county_name
3256,178,3897,756,3803,601,9021,1792,5590,840, Indiana,Jefferson
2330,232,3180,432,3294,472,8076,995,4412,379, Indiana,Jennings
12970,1709,20460,7475,20779,8332,39078,12820,22150,4858, Indiana,Johnson
4610,163,4368,827,4128,843,9520,1484,6494,995, Indiana,Knox
7136,458,10262,2853,9081,2350,20656,4296,12827,2829, Indiana,Kosciusko
3718,49,4562,478,4207,369,8603,1070,5259,453, Indiana,LaGrange
42908,3275,59383,15593,61133,15130,129242,29229,78104,14036, Indiana,Lake
9152,646,14351,2274,13576,2355,30196,5608,19099,3677, Indiana,LaPorte
3396,236,5096,881,5405,898,12656,1953,9006,1346, Indiana,Lawrence
11146,716,16212,3068,16071,3611,34571,5839,23226,4060, Indiana,Madison
90147,12048,159452,59990,122197,39529,227947,64873,116806,29030, Indiana,Marion
3947,269,5028,1000,5380,1214,12299,2124,8028,1709, Indiana,Marshall
816,44,1117,314,1184,163,2868,352,1951,149, Indiana,Martin
3183,195,4666,658,4553,599,9538,1172,6198,820, Indiana,Miami
38853,5263,21130,11217,15283,8140,29620,12025,18463,7255, Indiana,Monroe
3582,190,4450,1060,4303,828,10457,1792,6810,1045, Indiana,Montgomery
5687,282,7842,1208,8218,1792,20813,3737,11371,1586, Indiana,Morgan
1090,91,1583,312,1723,197,3954,374,2647,293, Indiana,Newton
3998,269,5665,970,5753,901,12869,1520,7233,939, Indiana,Noble
366,13,634,95,658,159,1855,224,1232,165, Indiana,Ohio
1478,45,2122,140,2218,286,5524,533,3697,522, Indiana,Orange
1460,193,2219,350,2288,388,6502,794,3950,428, Indiana,Owen
1272,144,2067,154,1869,277,4861,628,3239,384, Indiana,Parke
1404,118,2520,477,2424,537,5203,683,3468,497, Indiana,Perry
834,130,1315,240,1409,219,3552,448,2437,323, Indiana,Pike
15485,1501,20523,6585,22081,7720,46150,12457,26892,6118, Indiana,Porter
1907,201,2864,819,2996,893,7419,1629,4654,587, Indiana,Posey
969,57,1369,243,1480,301,3496,366,2374,202, Indiana,Pulaski
5286,220,4380,583,4368,998,9939,1434,6123,1147, Indiana,Putnam
1866,97,2696,422,2921,479,6797,923,4907,660, Indiana,Randolph
2399,191,3093,688,3351,765,7875,1426,4925,594, Indiana,Ripley
1357,16,1767,263,1934,262,4841,640,2974,437, Indiana,Rush
30014,3576,35709,12551,31805,10336,67048,18968,41609,10246, Indiana,St. Joseph
1993,15,2806,375,2867,316,6828,851,3947,424, Indiana,Scott
3420,220,5445,1329,5205,1145,12834,2278,7400,1013, Indiana,Shelby
1527,126,2201,356,2310,440,5943,983,3940,409, Indiana,Spencer
1748,147,2593,353,2712,429,6403,685,4089,408, Indiana,Starke
3625,300,3574,892,3583,973,9856,1720,6746,1583, Indiana,Steuben
1739,67,2768,160,2827,411,5742,853,3577,380, Indiana,Sullivan
746,4,1128,76,1315,187,2916,385,1894,143, Indiana,Switzerland
46267,6101,27201,12513,20152,8244,37151,13461,21322,6766, Indiana,Tippecanoe
1180,181,1567,474,1653,462,4533,1133,3075,602, Indiana,Tipton
554,76,796,173,798,125,2105,400,1339,235, Indiana,Union
17886,2129,25831,8140,21411,7272,47051,11660,29766,6439, Indiana,Vanderburgh
1194,26,1626,336,1894,334,4371,503,3022,379, Indiana,Vermillion
16185,1603,13826,3782,12345,3466,25905,5851,17153,4309, Indiana,Vigo
3239,242,3330,575,3478,784,8434,1352,6401,1212, Indiana,Wabash
544,60,871,219,954,170,2397,467,1658,285, Indiana,Warren
4448,550,6795,2722,7993,3014,17500,4806,10594,2450, Indiana,Warrick
2149,161,3163,527,3405,532,8104,1070,4657,462, Indiana,Washington
6116,211,7608,1371,7635,1645,17840,3330,12467,1949, Indiana,Wayne
2134,155,3216,610,3238,700,7495,1429,5024,715, Indiana,Wells
1874,93,2626,430,2560,578,6728,1052,4711,660, Indiana,White
2560,264,3864,990,3996,896,9569,1967,5943,989, Indiana,Whitley
451,32,806,237,739,121,2004,333,1566,254, Iowa,Adair
241,2,401,78,363,79,1062,110,836,147, Iowa,Adams
947,99,1443,268,1379,308,3774,638,3076,504, Iowa,Allamakee
818,31,1315,294,1288,197,3471,565,2827,398, Iowa,Appanoose
395,38,519,90,543,109,1614,279,1354,210, Iowa,Audubon
1833,76,2630,699,3076,995,7414,1595,4631,636, Iowa,Benton
19990,1847,17231,5897,14858,5537,30491,7920,21138,5006, Iowa,Black Hawk
2100,191,3202,865,3270,930,7409,1874,4665,1022, Iowa,Boone
2898,207,2609,1024,2917,1197,6036,1741,4866,1074, Iowa,Bremer
1464,103,2374,679,2501,675,5361,1061,3769,603, Iowa,Buchanan
2300,230,2519,557,2196,398,4822,915,3027,607, Iowa,Buena Vista
939,66,1420,279,1661,463,3932,624,3268,409, Iowa,Butler
684,48,1074,204,1099,254,2602,476,2222,372, Iowa,Calhoun
1551,194,2078,653,2263,590,5421,1248,4000,588, Iowa,Carroll
854,13,1292,315,1503,448,3582,630,2954,479, Iowa,Cass
1251,177,1918,477,2235,641,5245,1242,3553,510, Iowa,Cedar
3453,367,5077,1589,4481,1007,11967,2694,9043,1927, Iowa,Cerro Gordo
724,21,1189,302,1125,236,3202,641,2666,640, Iowa,Cherokee
985,127,1156,314,1236,307,3477,550,2420,256, Iowa,Chickasaw
669,57,1024,209,1110,200,2585,392,1671,219, Iowa,Clarke
1178,180,1776,523,1873,579,4394,928,3329,555, Iowa,Clay
1158,63,1759,380,1762,433,5143,785,4045,652, Iowa,Clayton
3570,273,5144,1092,5336,1268,13113,2144,9057,1345, Iowa,Clinton
1694,213,1938,311,1744,199,4530,615,2900,459, Iowa,Crawford
5858,1776,12813,7725,13830,8598,19905,9105,10357,3241, Iowa,Dallas
707,35,951,263,936,198,2150,410,1555,218, Iowa,Davis
1404,100,732,236,732,197,1809,425,1567,354, Iowa,Decatur
1271,162,1627,342,1852,455,5037,729,3276,435, Iowa,Delaware
3028,223,4329,868,4523,1049,10596,2012,7981,1594, Iowa,Des Moines
1143,93,1719,654,1804,685,4851,1572,4374,1366, Iowa,Dickinson
9925,1012,12231,4622,10575,4168,25270,7025,16778,4132, Iowa,Dubuque
1003,58,878,279,1040,165,2621,481,1937,294, Iowa,Emmet
1884,114,2117,565,1996,431,5498,965,4159,557, Iowa,Fayette
1363,70,1552,342,1627,324,4254,1036,3428,446, Iowa,Floyd
740,159,1163,280,1054,168,2753,483,2109,341, Iowa,Franklin
446,37,645,142,797,179,1999,399,1547,221, Iowa,Fremont
604,133,912,152,950,233,2446,501,1996,290, Iowa,Greene
836,75,1336,450,1480,668,3293,796,2519,493, Iowa,Grundy
702,61,962,212,1176,302,3040,624,2358,354, Iowa,Guthrie
1014,134,1658,574,1732,487,4136,815,3024,690, Iowa,Hamilton
732,49,1146,395,1213,381,2965,597,2358,456, Iowa,Hancock
1324,205,1853,578,1840,485,4828,834,3634,627, Iowa,Hardin
969,119,1472,387,1613,439,4061,736,2736,361, Iowa,Harrison
1924,147,2503,389,2301,548,5177,1040,3676,704, Iowa,Henry
607,70,970,206,989,212,2455,270,1866,307, Iowa,Howard
626,79,1027,260,1121,324,2566,500,1987,337, Iowa,Humboldt
489,67,691,127,735,198,1856,358,1511,208, Iowa,Ida
1193,108,1706,386,1996,647,4590,769,2984,322, Iowa,Iowa
1450,129,1903,429,2108,582,5671,1013,3957,594, Iowa,Jackson
2669,156,4497,837,4403,1161,10138,1714,6989,1177, Iowa,Jasper
1645,161,2722,846,2311,598,4688,1268,3915,1582, Iowa,Jefferson
31222,5235,23239,13891,17874,10136,29613,14711,16810,7488, Iowa,Johnson
1493,89,2233,454,2592,732,5706,1048,4144,632, Iowa,Jones
709,51,1070,285,1104,223,2789,498,2194,302, Iowa,Keokuk
1160,111,1489,336,1484,295,4096,792,3456,419, Iowa,Kossuth
2534,86,3911,598,3852,870,9677,1487,6805,1025, Iowa,Lee
20696,2631,30525,11740,28646,11045,56613,18969,34771,8136, Iowa,Linn
934,41,1233,278,1390,216,3044,303,2049,351, Iowa,Louisa
639,32,813,88,908,182,2399,480,1836,264, Iowa,Lucas
825,42,1246,346,1477,490,2795,458,2103,283, Iowa,Lyon
1067,48,1621,400,2074,800,4552,1015,2735,476, Iowa,Madison
1904,163,2653,673,2554,775,5732,1166,4005,673, Iowa,Mahaska
3448,211,3684,1192,3841,1684,8650,2339,5805,1114, Iowa,Marion
3403,362,4703,670,4475,774,10250,2063,7069,1474, Iowa,Marshall
1110,76,1426,349,1810,564,4380,1077,2711,501, Iowa,Mills
860,86,1038,395,1079,294,2841,387,2306,307, Iowa,Mitchell
593,58,932,120,978,176,2316,368,2125,306, Iowa,Monona
596,79,799,290,893,127,2146,288,1533,227, Iowa,Monroe
766,24,950,217,1095,274,2841,428,2100,371, Iowa,Montgomery
3554,465,5413,1257,5157,1326,11157,2330,6908,1250, Iowa,Muscatine
978,64,1519,260,1579,389,3644,767,2836,382, Iowa,O'Brien
386,22,590,118,666,131,1725,370,1269,141, Iowa,Osceola
1088,59,1765,337,1931,400,4134,805,3305,711, Iowa,Page
728,54,964,342,975,304,2268,527,1938,393, Iowa,Palo Alto
1990,278,2492,543,2981,964,6816,1560,4531,832, Iowa,Plymouth
455,38,635,161,676,143,2022,218,1544,209, Iowa,Pocahontas
41752,6108,74600,32079,65143,26814,117067,39590,61222,18266, Iowa,Polk
8204,566,11024,2773,11239,3135,25097,4954,15838,2705, Iowa,Pottawattamie
2759,153,1869,608,1802,720,4647,1148,3715,668, Iowa,Poweshiek
320,9,504,121,488,138,1262,247,1192,231, Iowa,Ringgold
673,47,941,264,972,267,2758,443,2270,416, Iowa,Sac
14530,1653,22793,7640,21958,8346,44826,13856,27192,7282, Iowa,Scott
783,101,1101,298,1183,438,3320,751,2632,338, Iowa,Shelby
4670,536,3915,1391,4054,1529,7455,2099,5301,1011, Iowa,Sioux
30025,3014,12853,7666,9264,5677,17258,8029,11437,4855, Iowa,Story
1316,91,1747,296,1785,348,4764,704,3324,486, Iowa,Tama
467,4,656,102,668,97,1586,248,1355,170, Iowa,Taylor
1144,90,1385,247,1437,352,3142,476,2475,443, Iowa,Union
463,26,665,101,762,78,2009,297,1582,249, Iowa,Van Buren
3203,227,4323,822,4164,1034,9364,1622,6100,1034, Iowa,Wapello
4752,561,5602,2057,6450,2781,13068,3993,7781,1667, Iowa,Warren
1772,165,2487,717,2491,666,5743,1303,4141,557, Iowa,Washington
448,11,696,102,618,92,1654,222,1395,137, Iowa,Wayne
4123,164,4485,712,4012,1011,9570,2009,6587,1180, Iowa,Webster
1131,101,1036,352,1084,290,2800,590,2197,316, Iowa,Winnebago
3247,254,1855,687,1951,715,5402,1466,4057,1186, Iowa,Winneshiek
9923,795,13462,2883,12501,3287,24784,5766,15071,3281, Iowa,Woodbury
609,85,793,165,815,206,2164,364,1503,186, Iowa,Worth
831,163,1320,299,1403,272,3322,627,2806,328, Iowa,Wright
1161,98,1248,203,1423,407,3348,608,2541,522, Kansas,Allen
573,18,731,164,867,166,1970,346,1657,268, Kansas,Anderson
2317,118,1777,342,1582,453,4024,825,2752,614, Kansas,Atchison
305,25,570,104,377,108,1271,177,998,276, Kansas,Barber
2313,99,3261,754,2917,608,6695,1254,4986,1120, Kansas,Barton
1334,102,1614,247,1551,330,3525,911,2840,578, Kansas,Bourbon
651,95,1026,218,1027,285,2618,587,1877,298, Kansas,Brown
5749,344,7686,2665,8616,3137,17619,5184,9898,2058, Kansas,Butler
214,8,220,33,294,69,669,191,637,171, Kansas,Chase
195,16,349,82,290,55,883,150,866,92, Kansas,Chautauqua
1540,68,2216,583,2233,494,5571,1000,3839,639, Kansas,Cherokee
187,6,254,64,297,93,654,220,705,175, Kansas,Cheyenne
112,22,189,61,207,51,539,171,478,86, Kansas,Clark
498,23,813,259,966,395,1995,522,1868,329, Kansas,Clay
828,25,987,185,903,315,2235,486,1876,452, Kansas,Cloud
643,105,903,236,883,252,2330,596,1717,348, Kansas,Coffey
106,8,84,5,223,25,487,106,454,64, Kansas,Comanche
3598,166,4112,683,4014,825,8822,1998,6399,1578, Kansas,Cowley
7181,1072,4671,1593,4131,1308,8539,2668,5920,1381, Kansas,Crawford
170,10,304,86,300,87,758,134,785,177, Kansas,Decatur
1309,135,2129,489,2322,403,4930,1265,3663,828, Kansas,Dickinson
1217,54,769,186,813,244,1972,339,1449,288, Kansas,Doniphan
28339,3986,17836,9223,13984,7204,23703,11851,14205,6329, Kansas,Douglas
102,0,363,96,298,46,846,136,606,104, Kansas,Edwards
94,4,204,17,220,67,730,79,730,131, Kansas,Elk
5000,460,3895,1729,3033,1447,6211,2122,4315,1037, Kansas,Ellis
563,71,826,173,731,223,1680,259,1284,227, Kansas,Ellsworth
3952,223,5006,913,4314,785,8296,1412,3905,563, Kansas,Finney
3496,94,4786,793,4134,633,7800,1441,3618,737, Kansas,Ford
2275,105,2936,642,2936,718,7036,1224,4205,908, Kansas,Franklin
5241,176,7113,1444,4015,1175,4381,1124,2767,504, Kansas,Geary
151,34,314,51,211,60,698,136,702,132, Kansas,Gove
106,0,253,67,272,79,706,178,668,146, Kansas,Graham
732,0,817,45,806,172,1823,263,962,175, Kansas,Grant
488,39,692,116,768,143,1423,315,895,190, Kansas,Gray
66,6,125,44,127,57,315,61,243,58, Kansas,Greeley
366,18,540,131,634,120,1738,358,1503,271, Kansas,Greenwood
212,7,309,61,421,92,584,87,351,72, Kansas,Hamilton
347,20,625,113,579,99,1419,152,1245,264, Kansas,Harper
3313,275,4005,1336,3632,1447,8475,2866,6615,1894, Kansas,Harvey
384,6,395,36,568,96,949,160,570,133, Kansas,Haskell
159,0,160,50,168,46,569,187,413,120, Kansas,Hodgeman
1020,102,1359,281,1472,459,3601,635,2498,432, Kansas,Jackson
1297,57,1996,545,2102,640,5661,1313,3487,572, Kansas,Jefferson
130,26,297,60,248,68,800,183,855,114, Kansas,Jewell
46737,9546,81292,48346,82470,49170,152246,86402,83169,39544, Kansas,Johnson
478,11,385,55,387,49,962,156,572,80, Kansas,Kearny
500,67,706,203,792,248,2102,466,1600,353, Kansas,Kingman
300,38,230,84,221,72,632,188,534,110, Kansas,Kiowa
1503,94,2389,525,2132,396,5592,948,3717,722, Kansas,Labette
110,6,164,37,215,42,400,83,288,84, Kansas,Lane
6972,643,10627,3243,11886,3902,20663,6960,11394,3082, Kansas,Leavenworth
225,3,226,63,328,62,857,185,721,176, Kansas,Lincoln
635,10,870,146,1195,185,2638,553,2137,221, Kansas,Linn
198,19,295,74,384,46,670,140,566,58, Kansas,Logan
5901,583,3897,1346,3516,1034,7580,1850,4910,1239, Kansas,Lyon
2630,304,3290,956,3136,1229,7423,1896,5573,1354, Kansas,McPherson
1178,51,1082,270,1199,335,3159,809,2764,640, Kansas,Marion
630,54,1004,367,1056,207,2638,434,2081,272, Kansas,Marshall
375,11,514,74,417,116,1099,216,724,153, Kansas,Meade
2482,177,3303,883,4173,1394,9530,3215,5694,1274, Kansas,Miami
622,41,592,202,621,241,1485,290,1452,349, Kansas,Mitchell
2857,195,3787,803,3429,767,8470,1697,6258,1015, Kansas,Montgomery
323,4,551,122,578,164,1557,287,1355,292, Kansas,Morris
192,0,369,26,231,56,684,135,578,105, Kansas,Morton
810,123,1052,442,1046,352,2533,622,1992,264, Kansas,Nemaha
1342,73,1773,262,1743,414,4167,789,3095,485, Kansas,Neosho
157,21,311,67,216,80,848,163,727,98, Kansas,Ness
397,25,826,121,582,135,1467,273,1117,221, Kansas,Norton
1184,72,1541,240,1721,485,4625,947,3105,443, Kansas,Osage
249,35,404,163,315,86,955,195,862,154, Kansas,Osborne
404,53,531,165,713,186,1683,363,1157,285, Kansas,Ottawa
449,28,881,83,808,170,1923,477,1344,239, Kansas,Pawnee
414,14,552,198,539,136,1418,299,1219,178, Kansas,Phillips
1736,84,3002,1073,3173,1468,5543,1771,3363,784, Kansas,Pottawatomie
939,20,1046,188,910,423,2361,762,1785,477, Kansas,Pratt
143,8,245,58,264,98,665,162,672,126, Kansas,Rawlins
5446,266,7570,1766,7254,1474,16125,3327,12120,2436, Kansas,Reno
274,25,404,106,425,109,1308,355,1277,301, Kansas,Republic
1213,80,1053,255,948,227,2433,466,1800,473, Kansas,Rice
24877,2670,13274,5949,6880,3248,10903,5216,6690,2800, Kansas,Riley
350,22,559,174,518,126,1391,290,1118,238, Kansas,Rooks
177,42,322,86,279,78,833,192,751,162, Kansas,Rush
460,0,695,195,710,265,1999,406,1637,299, Kansas,Russell
4770,306,6876,2226,6538,1896,14264,3794,9412,2225, Kansas,Saline
382,56,511,149,583,201,1236,252,891,207, Kansas,Scott
47836,4584,73496,24749,62476,20751,124586,37114,72054,20056, Kansas,Sedgwick
2353,86,3547,350,2609,252,4668,494,2099,325, Kansas,Seward
14948,1550,22188,7199,20917,7187,46173,14325,31300,8579, Kansas,Shawnee
95,0,274,43,294,65,660,151,589,141, Kansas,Sheridan
440,75,599,194,1006,195,1376,259,1114,244, Kansas,Sherman
217,16,318,92,352,113,1040,238,991,159, Kansas,Smith
324,9,450,126,373,99,1182,264,881,239, Kansas,Stafford
163,29,244,57,234,48,446,96,351,41, Kansas,Stanton
434,19,708,119,662,52,1335,173,816,137, Kansas,Stevens
1815,136,2492,627,2588,741,6306,1468,4230,800, Kansas,Sumner
1022,1,993,121,824,234,1922,452,1276,326, Kansas,Thomas
204,15,264,81,310,79,841,198,718,172, Kansas,Trego
525,11,636,228,731,276,2012,426,1345,213, Kansas,Wabaunsee
95,9,169,82,169,70,383,140,349,55, Kansas,Wallace
404,46,527,186,564,94,1457,329,1309,175, Kansas,Washington
95,6,314,118,179,25,607,103,400,63, Kansas,Wichita
606,36,871,183,893,176,2407,338,1826,293, Kansas,Wilson
163,4,326,86,349,59,862,103,771,149, Kansas,Woodson
14509,1248,24773,5994,21343,3752,38456,5836,19840,3352, Kansas,Wyandotte
2274,110,2239,342,2113,478,5276,895,3571,354, Kentucky,Adair
1545,40,2661,460,2402,561,5726,672,3628,632, Kentucky,Allen
1692,127,2577,518,2865,771,6468,1285,3459,526, Kentucky,Anderson
643,43,790,151,935,217,2233,328,1666,201, Kentucky,Ballard
3532,78,5020,1154,5269,1024,12058,1619,7525,1081, Kentucky,Barren
940,39,1308,179,1519,221,3386,572,1997,216, Kentucky,Bath
2170,77,3285,269,3153,377,7505,674,4979,413, Kentucky,Bell
10492,1034,16170,5219,18250,7707,34457,11051,16864,3561, Kentucky,Boone
1463,79,2456,464,2285,432,5519,1099,3800,737, Kentucky,Bourbon
3413,258,5669,1144,6044,1343,13382,2577,9014,1549, Kentucky,Boyd
3964,209,3225,823,3444,754,7796,2220,5561,1241, Kentucky,Boyle
590,3,983,170,1028,156,2374,250,1341,180, Kentucky,Bracken
1128,12,1552,211,1692,417,3826,343,2137,428, Kentucky,Breathitt
1501,119,2097,388,2306,189,5759,613,3888,487, Kentucky,Breckinridge
6568,363,10107,1813,10668,2261,22840,2963,12282,1198, Kentucky,Bullitt
884,32,1590,404,1612,150,3481,507,2306,192, Kentucky,Butler
910,53,1530,311,1346,430,3428,376,2653,252, Kentucky,Caldwell
7642,551,4435,1654,4023,1302,9162,2466,6536,1463, Kentucky,Calloway
9479,1522,13195,6337,11420,5205,24973,8009,14117,3585, Kentucky,Campbell
339,11,546,109,565,88,1257,146,987,157, Kentucky,Carlisle
742,43,1419,82,1425,125,2724,195,1610,188, Kentucky,Carroll
2492,63,3095,422,3166,534,7389,951,4966,433, Kentucky,Carter
1276,55,1738,317,1913,155,4193,495,3162,439, Kentucky,Casey
11439,495,11726,1677,7633,1606,12677,2376,8611,1701, Kentucky,Christian
2623,233,4402,896,4398,1125,10174,1912,6308,1157, Kentucky,Clark
1488,46,3013,270,2869,269,5653,559,3005,332, Kentucky,Clay
735,52,1209,110,1153,123,2822,333,1945,165, Kentucky,Clinton
611,16,973,83,1073,168,2500,301,1821,280, Kentucky,Crittenden
345,21,791,53,661,171,1983,233,1440,192, Kentucky,Cumberland
8193,698,12730,3674,12312,3366,25965,5074,16779,3438, Kentucky,Daviess
1081,42,1346,86,1532,189,3472,313,2447,315, Kentucky,Edmonson
598,1,1025,51,1124,179,1957,214,1425,95, Kentucky,Elliott
1036,26,1614,189,1725,162,4127,445,2646,201, Kentucky,Estill
45378,6711,49638,24168,42068,20204,74927,30630,41539,15865, Kentucky,Fayette
1098,82,1618,258,1687,369,4020,390,2537,251, Kentucky,Fleming
2929,203,4307,558,4570,737,10398,999,6378,615, Kentucky,Floyd
4419,332,6718,2168,6133,1910,14084,4101,8605,2438, Kentucky,Franklin
442,53,812,107,571,43,1733,185,1230,248, Kentucky,Fulton
741,9,1077,140,1063,272,2509,157,1193,111, Kentucky,Gallatin
1149,101,1866,414,2134,513,5269,828,3121,425, Kentucky,Garrard
2171,107,3228,488,2934,426,6541,736,3404,432, Kentucky,Grant
3084,241,4339,911,4339,893,9711,1590,6789,977, Kentucky,Graves
2119,44,3071,419,3220,407,7054,658,4523,394, Kentucky,Grayson
722,50,1234,242,1277,160,3218,428,2211,215, Kentucky,Green
2580,157,3833,652,4330,993,9961,1706,7213,991, Kentucky,Greenup
691,16,926,142,1005,160,2426,275,1471,90, Kentucky,Hancock
10123,698,14750,3052,13864,3861,28250,6315,14852,2555, Kentucky,Hardin
1895,70,3325,347,3134,434,7460,688,4778,556, Kentucky,Harlan
1466,149,2020,253,2203,352,5455,776,3266,510, Kentucky,Harrison
1457,60,2120,204,2055,269,5362,686,3064,281, Kentucky,Hart
3372,268,5728,1194,5762,971,12591,2447,7889,1205, Kentucky,Henderson
1273,48,1752,185,1904,292,4533,562,2705,387, Kentucky,Henry
360,4,364,111,562,142,1262,139,1097,127, Kentucky,Hickman
3286,98,5509,1263,5477,1095,12482,2064,8157,806, Kentucky,Hopkins
980,11,1491,65,1790,379,3824,634,2274,218, Kentucky,Jackson
66070,9487,113143,44200,96048,36614,200368,62840,120799,33707, Kentucky,Jefferson
5325,393,6623,1955,6514,1859,13850,4186,7787,2260, Kentucky,Jessamine
1660,116,2620,492,2917,599,6339,987,4007,511, Kentucky,Johnson
13358,1819,24490,9750,21714,8271,43214,12064,23111,5586, Kentucky,Kenton
1631,47,1614,204,1775,461,4481,475,2693,430, Kentucky,Knott
3020,203,3859,635,3688,453,8102,1407,5367,489, Kentucky,Knox
1048,32,1594,231,1917,218,4003,578,2431,202, Kentucky,Larue
4756,240,7645,1183,7778,1347,16530,2453,9691,1034, Kentucky,Laurel
1120,29,1802,214,1952,236,4388,429,2676,177, Kentucky,Lawrence
513,41,831,55,838,87,2097,182,1196,86, Kentucky,Lee
730,48,1299,80,1232,111,3022,254,1792,193, Kentucky,Leslie
1548,22,2612,422,2759,395,6429,684,4128,433, Kentucky,Letcher
980,26,1517,194,1637,258,3890,287,2398,116, Kentucky,Lewis
1736,8,2927,293,2904,640,6753,833,4366,437, Kentucky,Lincoln
583,22,954,57,1057,107,2773,375,1942,257, Kentucky,Livingston
2122,96,3186,583,3178,504,7162,1295,4895,636, Kentucky,Logan
557,31,862,118,946,178,2546,471,2209,342, Kentucky,Lyon
4876,378,7617,2111,7971,2390,17702,4406,12651,2230, Kentucky,McCracken
1395,75,2397,159,2372,136,4674,320,2672,256, Kentucky,McCreary
624,29,984,190,1070,190,2617,332,1785,158, Kentucky,McLean
16212,1341,11224,3911,11031,4124,21249,6090,12131,2996, Kentucky,Madison
899,35,1440,120,1543,201,3660,303,2093,206, Kentucky,Magoffin
1672,43,2144,308,2305,242,5264,668,3174,408, Kentucky,Marion
2110,100,3347,816,3765,948,8804,1577,6762,1018, Kentucky,Marshall
855,28,1911,408,1648,156,3084,257,1827,170, Kentucky,Martin
1478,181,2039,335,1959,404,4771,948,2989,602, Kentucky,Mason
2422,56,3796,720,3721,919,7848,1332,3937,770, Kentucky,Meade
396,3,839,128,672,66,1886,217,1302,114, Kentucky,Menifee
1720,36,2355,476,2413,611,6343,1027,3985,681, Kentucky,Mercer
698,33,1088,195,1112,123,2948,400,1884,195, Kentucky,Metcalfe
814,33,1166,304,1291,189,3003,363,1956,210, Kentucky,Monroe
2171,90,3507,783,3610,721,7525,906,4396,570, Kentucky,Montgomery
967,50,1976,206,1855,362,3828,438,2186,228, Kentucky,Morgan
2905,47,3819,695,3698,659,8460,1037,5763,344, Kentucky,Muhlenberg
3777,123,5567,1212,5700,1272,12738,1969,6975,1131, Kentucky,Nelson
595,51,776,24,861,161,2016,151,1206,96, Kentucky,Nicholas
1739,55,2831,513,2919,382,6375,702,4246,637, Kentucky,Ohio
5477,467,6713,2488,9854,4816,18668,8431,8384,2765, Kentucky,Oldham
789,12,1167,180,1343,180,3133,287,1931,182, Kentucky,Owen
455,0,426,48,527,108,1292,231,844,112, Kentucky,Owsley
1107,94,1704,254,1703,228,4397,619,2262,231, Kentucky,Pendleton
1935,55,3234,462,3383,519,7781,1226,4349,492, Kentucky,Perry
4929,385,6799,1115,7512,1040,17182,2155,10761,1204, Kentucky,Pike
959,61,1587,227,1580,309,3306,596,1906,201, Kentucky,Powell
4856,241,7570,1077,7590,1756,17991,2983,12005,1624, Kentucky,Pulaski
109,1,234,22,234,29,583,97,456,98, Kentucky,Robertson
1234,84,1948,291,1992,359,4942,504,2994,195, Kentucky,Rockcastle
5622,208,2962,679,2551,811,5403,1341,3339,741, Kentucky,Rowan
1192,25,2007,435,1995,358,5052,600,3511,450, Kentucky,Russell
5198,496,7264,2017,8072,2777,13784,3826,6480,1484, Kentucky,Scott
3893,383,6010,1460,6109,1452,13024,3345,7242,1802, Kentucky,Shelby
1456,48,2263,195,2155,550,4876,625,2986,370, Kentucky,Simpson
1397,85,1952,587,2562,670,5957,1181,2517,198, Kentucky,Spencer
3113,161,3192,514,2588,667,6453,1076,4452,1011, Kentucky,Taylor
881,46,1583,396,1458,171,3184,382,1921,129, Kentucky,Todd
950,22,1348,243,1611,195,4146,742,3208,527, Kentucky,Trigg
677,50,917,115,1066,202,2563,386,1465,146, Kentucky,Trimble
2309,22,1683,182,1646,219,3826,371,2370,282, Kentucky,Union
21402,2115,17238,6078,15653,5316,28853,9129,16283,4618, Kentucky,Warren
1026,42,1335,333,1426,217,3283,730,2151,259, Kentucky,Washington
1528,121,2361,191,2557,380,5661,774,4124,468, Kentucky,Wayne
996,10,1565,159,1589,163,3621,374,2269,210, Kentucky,Webster
3994,304,4312,957,4125,1294,8937,1565,5702,898, Kentucky,Whitley
365,29,852,53,935,53,2011,252,1376,90, Kentucky,Wolfe
2159,220,2698,902,3239,1198,7695,2827,4670,1256, Kentucky,Woodford
4900,313,8434,985,7511,1463,15980,2016,9280,1014, Louisiana,Acadia Parish
1987,142,3749,548,3682,280,6689,759,3775,433, Louisiana,Allen Parish
10109,612,17058,5267,17694,6479,31011,7347,14010,2006, Louisiana,Ascension Parish
