,state,county,Donald Trump,Joe Biden,Others
268,Colorado,Crowley,1271.0,437.0,42.0
269,Colorado,Custer,2474.0,1112.0,48.0
270,Colorado,Delta,13081.0,5887.0,402.0
271,Colorado,Denver,71618.0,313293.0,8916.0
272,Colorado,Dolores,1089.0,341.0,19.0
273,Colorado,Douglas,121270.0,104653.0,5676.0
274,Colorado,Eagle,9892.0,18588.0,660.0
275,Colorado,El Paso,202828.0,161941.0,14080.0
276,Colorado,Elbert,14027.0,4490.0,466.0
277,Colorado,Fremont,17517.0,7369.0,671.0
278,Colorado,Garfield,14717.0,15427.0,760.0
279,Colorado,Gilpin,1833.0,2223.0,130.0
280,Colorado,Grand,4883.0,4710.0,277.0
281,Colorado,Gunnison,3735.0,7132.0,323.0
282,Colorado,Hinsdale,353.0,255.0,24.0
283,Colorado,Huerfano,2203.0,2076.0,127.0
284,Colorado,Jackson,681.0,175.0,20.0
285,Colorado,Jefferson,148417.0,218396.0,10544.0
286,Colorado,Kiowa,795.0,98.0,10.0
287,Colorado,Kit Carson,3144.0,662.0,65.0
288,Colorado,La Plata,14233.0,20548.0,886.0
289,Colorado,Lake,1497.0,2303.0,161.0
290,Colorado,Larimer,91489.0,126120.0,6729.0
291,Colorado,Las Animas,4284.0,3497.0,180.0
292,Colorado,Lincoln,2135.0,470.0,46.0
293,Colorado,Logan,8087.0,2218.0,227.0
294,Colorado,Mesa,56894.0,31536.0,2192.0
295,Colorado,Mineral,427.0,317.0,12.0
296,Colorado,Moffat,5670.0,1203.0,153.0
297,Colorado,Montezuma,9306.0,5836.0,358.0
298,Colorado,Montrose,16770.0,7687.0,465.0
299,Colorado,Morgan,9593.0,3876.0,275.0
300,Colorado,Otero,5756.0,3605.0,215.0
301,Colorado,Ouray,1577.0,2365.0,78.0
302,Colorado,Park,6991.0,4903.0,396.0
303,Colorado,Phillips,1958.0,486.0,41.0
304,Colorado,Pitkin,2780.0,8989.0,188.0
305,Colorado,Prowers,4008.0,1458.0,95.0
306,Colorado,Pueblo,42252.0,43772.0,2275.0
307,Colorado,Rio Blanco,3061.0,561.0,69.0
308,Colorado,Rio Grande,3660.0,2495.0,150.0
309,Colorado,Routt,5925.0,10582.0,369.0
310,Colorado,Saguache,1413.0,1884.0,92.0
311,Colorado,San Juan,202.0,342.0,19.0
312,Colorado,San Miguel,1136.0,3924.0,87.0
313,Colorado,Sedgwick,1121.0,301.0,24.0
314,Colorado,Summit,5322.0,12631.0,526.0
315,Colorado,Teller,11241.0,5278.0,420.0
316,Colorado,Washington,2595.0,369.0,44.0
317,Colorado,Weld,96145.0,66060.0,4763.0
318,Colorado,Yuma,4107.0,785.0,89.0
319,Connecticut,Andover,998.0,1058.0,35.0
320,Connecticut,Ansonia,3797.0,4521.0,101.0
321,Connecticut,Ashford,1160.0,1330.0,54.0
322,Connecticut,Avon,4469.0,7299.0,219.0
323,Connecticut,Barkhamsted,1228.0,1154.0,60.0
324,Connecticut,Beacon Falls,2191.0,1543.0,69.0
325,Connecticut,Berlin,6687.0,6008.0,178.0
326,Connecticut,Bethany,1718.0,1912.0,68.0
327,Connecticut,Bethel,4734.0,6270.0,168.0
328,Connecticut,Bethlehem,1393.0,937.0,37.0
329,Connecticut,Bloomfield,1698.0,11007.0,116.0
330,Connecticut,Bolton,1482.0,1727.0,79.0
331,Connecticut,Bozrah,817.0,703.0,28.0
332,Connecticut,Branford,7098.0,10562.0,253.0
333,Connecticut,Bridgeport,8269.0,33515.0,404.0
334,Connecticut,Bridgewater,549.0,667.0,17.0
335,Connecticut,Bristol,13834.0,15462.0,503.0
336,Connecticut,Brookfield,5226.0,5426.0,155.0
337,Connecticut,Brooklyn,2262.0,1876.0,84.0
338,Connecticut,Burlington,3034.0,3099.0,100.0
339,Connecticut,Canaan,209.0,437.0,9.0
340,Connecticut,Canterbury,1755.0,1182.0,75.0
341,Connecticut,Canton,2663.0,3878.0,122.0
342,Connecticut,Chaplin,662.0,598.0,30.0
